,number,values_0,values_1,datetime_start,datetime_complete,duration,params_enemyHp,params_enemyMeleeDamage,params_enemyShotDamage,params_playerHp,params_playerMeleeDamage,params_playerShotDamage,user_attrs_lost_players_std,user_attrs_rounds_std,system_attrs_NSGAIISampler:generation,state
0,0,1.0,1.0,2025-11-08 10:41:47.335752,2025-11-08 10:42:31.731963,0 days 00:00:44.396211,3,4,2,0,2,0,0.0,0.0,0,COMPLETE
1,1,3.2,1.9,2025-11-08 10:42:31.732059,2025-11-08 10:44:15.933878,0 days 00:01:44.201819,1,0,3,2,2,1,2.514402955419481,1.9888578520235065,0,COMPLETE
2,2,4.8,3.0,2025-11-08 10:44:15.933985,2025-11-08 10:46:27.091311,0 days 00:02:11.157326,3,4,3,5,3,3,1.5634719199411433,2.2997584414213788,0,COMPLETE
3,3,2.1,0.6000000000000001,2025-11-08 10:46:27.091417,2025-11-08 10:48:00.669893,0 days 00:01:33.578476,5,1,3,4,2,4,2.0110804171997807,1.1005049346146119,0,COMPLETE
4,4,2.6,1.2999999999999998,2025-11-08 10:48:00.670005,2025-11-08 10:49:43.460376,0 days 00:01:42.790371,4,2,5,2,3,5,1.636391694484477,0.6992058987801011,0,COMPLETE
5,5,3.3,3.9000000000000004,2025-11-08 10:49:43.460481,2025-11-08 10:51:35.467387,0 days 00:01:52.006906,3,5,4,4,0,5,0.31622776601683794,0.9486832980505138,0,COMPLETE
6,6,2.5,3.7,2025-11-08 10:51:35.467497,2025-11-08 10:53:21.197591,0 days 00:01:45.730094,1,1,3,2,0,2,0.9486832980505138,0.7071067811865476,0,COMPLETE
7,7,3.2,2.6,2025-11-08 10:53:21.197708,2025-11-08 10:55:18.646060,0 days 00:01:57.448352,3,0,5,3,3,0,1.837873166945363,1.1352924243950933,0,COMPLETE
8,8,2.8,3.7,2025-11-08 10:55:18.646175,2025-11-08 10:57:12.481746,0 days 00:01:53.835571,1,1,4,4,0,5,0.9486832980505138,0.6324555320336759,0,COMPLETE
9,9,2.7,4.0,2025-11-08 10:57:12.481858,2025-11-08 10:58:59.482294,0 days 00:01:47.000436,1,1,3,3,5,4,0.0,0.8232726023485646,0,COMPLETE
10,10,2.2,4.0,2025-11-08 10:58:59.482429,2025-11-08 11:00:36.999781,0 days 00:01:37.517352,1,4,1,1,4,3,0.0,0.4216370213557839,0,COMPLETE
11,11,3.4,1.1,2025-11-08 11:00:36.999904,2025-11-08 11:02:44.093704,0 days 00:02:07.093800,4,3,0,3,3,1,1.5951314818673865,2.5473297566057065,0,COMPLETE
12,12,1.0,1.0,2025-11-08 11:02:44.093814,2025-11-08 11:03:31.853543,0 days 00:00:47.759729,2,5,2,0,0,5,0.0,0.0,0,COMPLETE
13,13,3.4,4.0,2025-11-08 11:03:31.853638,2025-11-08 11:05:29.386215,0 days 00:01:57.532577,2,5,3,5,4,5,0.0,0.8432740427115678,0,COMPLETE
14,14,2.3,2.9,2025-11-08 11:05:29.386318,2025-11-08 11:07:15.467895,0 days 00:01:46.081577,3,4,1,5,1,0,1.8529256146249728,0.48304589153964794,0,COMPLETE
15,15,2.3,2.5,2025-11-08 11:07:15.468014,2025-11-08 11:08:57.668113,0 days 00:01:42.200099,5,4,5,4,3,2,1.7159383568311668,0.6749485577105528,0,COMPLETE
16,16,3.3,3.3,2025-11-08 11:08:57.668228,2025-11-08 11:11:08.994412,0 days 00:02:11.326184,5,1,4,4,1,3,1.4944341180973264,1.6363916944844767,0,COMPLETE
17,17,1.0,1.0,2025-11-08 11:11:08.994521,2025-11-08 11:12:00.145663,0 days 00:00:51.151142,4,5,2,0,3,0,0.0,0.0,0,COMPLETE
18,18,1.6,0.4,2025-11-08 11:12:00.145762,2025-11-08 11:13:30.738215,0 days 00:01:30.592453,1,3,0,4,5,0,0.8432740427115678,0.6992058987801011,0,COMPLETE
19,19,5.0,1.7000000000000002,2025-11-08 11:13:30.738317,2025-11-08 11:16:08.285781,0 days 00:02:37.547464,5,0,0,3,5,3,1.7669811040931427,2.449489742783178,0,COMPLETE
20,20,2.2,2.7,2025-11-08 11:16:08.285905,2025-11-08 11:18:12.327683,0 days 00:02:04.041778,5,1,3,1,3,1,2.1628170930011112,1.1352924243950935,0,COMPLETE
21,21,1.9,0.5,2025-11-08 11:18:12.327792,2025-11-08 11:19:58.215834,0 days 00:01:45.888042,3,0,3,3,4,2,1.7159383568311668,0.9944289260117531,0,COMPLETE
22,22,1.0,1.0,2025-11-08 11:19:58.216234,2025-11-08 11:20:50.256363,0 days 00:00:52.040129,3,5,3,0,1,0,0.0,0.0,0,COMPLETE
23,23,1.7,1.0,2025-11-08 11:20:50.256464,2025-11-08 11:22:33.079445,0 days 00:01:42.822981,2,4,3,2,3,1,1.8856180831641267,0.4830458915396479,0,COMPLETE
24,24,2.8,4.0,2025-11-08 11:22:33.079602,2025-11-08 11:24:44.003009,0 days 00:02:10.923407,5,3,4,3,5,3,0.0,0.4216370213557839,0,COMPLETE
25,25,1.0,1.0,2025-11-08 11:24:44.003121,2025-11-08 11:25:36.079725,0 days 00:00:52.076604,1,5,3,0,2,5,0.0,0.0,0,COMPLETE
26,26,3.1,2.8,2025-11-08 11:25:36.079864,2025-11-08 11:27:44.498646,0 days 00:02:08.418782,3,4,5,1,2,3,1.9888578520235065,0.9944289260117533,0,COMPLETE
27,27,2.1,4.0,2025-11-08 11:27:44.498822,2025-11-08 11:29:33.025126,0 days 00:01:48.526304,1,2,5,1,5,3,0.0,0.31622776601683794,0,COMPLETE
28,28,2.3,3.7,2025-11-08 11:29:33.025267,2025-11-08 11:31:24.822968,0 days 00:01:51.797701,4,4,2,1,1,1,0.9486832980505138,0.6749485577105528,0,COMPLETE
29,29,1.0,1.0,2025-11-08 11:31:24.823072,2025-11-08 11:32:17.590470,0 days 00:00:52.767398,4,3,1,0,2,3,0.0,0.0,0,COMPLETE
30,30,3.0,4.0,2025-11-08 11:32:17.590568,2025-11-08 11:34:36.017310,0 days 00:02:18.426742,3,1,4,2,4,1,0.0,0.9428090415820634,0,COMPLETE
31,31,4.1,4.0,2025-11-08 11:34:36.017447,2025-11-08 11:36:55.419861,0 days 00:02:19.402414,3,2,3,1,5,5,0.0,0.7378647873726218,0,COMPLETE
32,32,1.0,1.0,2025-11-08 11:36:55.419972,2025-11-08 11:37:51.395624,0 days 00:00:55.975652,3,4,2,0,5,4,0.0,0.0,0,COMPLETE
33,33,2.7,3.8,2025-11-08 11:37:51.395726,2025-11-08 11:39:51.931738,0 days 00:02:00.536012,1,3,2,2,2,3,0.6324555320336759,0.8232726023485646,0,COMPLETE
34,34,2.7,4.0,2025-11-08 11:39:51.931848,2025-11-08 11:42:08.125498,0 days 00:02:16.193650,4,1,0,1,3,0,0.0,0.8232726023485646,0,COMPLETE
35,35,2.6,3.5999999999999996,2025-11-08 11:42:08.125616,2025-11-08 11:44:08.430295,0 days 00:02:00.304679,2,2,3,3,5,4,1.2649110640673518,0.8432740427115679,0,COMPLETE
36,36,4.1,2.2,2025-11-08 11:44:08.430398,2025-11-08 11:46:26.742550,0 days 00:02:18.312152,2,3,5,5,2,2,2.3944379994757297,2.4698178070456938,0,COMPLETE
37,37,3.3,4.0,2025-11-08 11:46:26.742655,2025-11-08 11:48:39.361253,0 days 00:02:12.618598,4,3,4,2,0,5,0.0,0.674948557710553,0,COMPLETE
38,38,3.6,2.6,2025-11-08 11:48:39.361365,2025-11-08 11:51:00.014552,0 days 00:02:20.653187,5,2,1,3,5,5,2.118699810942761,2.4129281427805145,0,COMPLETE
39,39,2.0,4.0,2025-11-08 11:51:00.014656,2025-11-08 11:52:50.045424,0 days 00:01:50.030768,4,4,3,4,1,0,0.0,0.0,0,COMPLETE
40,40,3.5,2.8,2025-11-08 11:52:50.045558,2025-11-08 11:54:56.333702,0 days 00:02:06.288144,4,4,1,2,2,5,1.6193277068654826,0.97182531580755,0,COMPLETE
41,41,3.3,3.7,2025-11-08 11:54:56.333829,2025-11-08 11:57:12.320880,0 days 00:02:15.987051,1,1,5,2,4,1,0.9486832980505138,1.2516655570345725,0,COMPLETE
42,42,4.0,1.7000000000000002,2025-11-08 11:57:12.320989,2025-11-08 11:59:34.359104,0 days 00:02:22.038115,3,1,1,3,3,5,2.1628170930011112,2.581988897471611,0,COMPLETE
43,43,3.9,3.4000000000000004,2025-11-08 11:59:34.359216,2025-11-08 12:01:58.027364,0 days 00:02:23.668148,1,0,4,5,1,5,1.577621275493231,2.766867462592951,0,COMPLETE
44,44,2.5,3.5,2025-11-08 12:01:58.027480,2025-11-08 12:04:17.484245,0 days 00:02:19.456765,5,1,2,1,2,3,1.5811388300841898,0.97182531580755,0,COMPLETE
45,45,7.2,1.4,2025-11-08 12:04:17.484384,2025-11-08 12:07:32.053089,0 days 00:03:14.568705,1,2,0,5,2,1,1.577621275493231,4.1311822359545785,0,COMPLETE
46,46,1.5,0.8,2025-11-08 12:07:32.053206,2025-11-08 12:09:20.720280,0 days 00:01:48.667074,3,2,5,2,4,2,2.0976176963403033,0.5270462766947299,0,COMPLETE
47,47,2.4,0.8,2025-11-08 12:09:20.720425,2025-11-08 12:11:19.039455,0 days 00:01:58.319030,5,4,5,2,2,4,1.9888578520235067,1.5055453054181622,0,COMPLETE
48,48,3.4,3.4000000000000004,2025-11-08 12:11:19.039565,2025-11-08 12:13:48.926386,0 days 00:02:29.886821,4,0,5,4,5,2,1.3498971154211057,1.4298407059684812,0,COMPLETE
49,49,2.7,1.4,2025-11-08 12:13:48.926496,2025-11-08 12:15:59.929178,0 days 00:02:11.002682,2,0,3,2,0,5,2.412928142780514,1.2516655570345725,0,COMPLETE
